a ?あ
enu'ieu エヌ・ティ・エス
enu'i'iio-u-ino- エヌ・ティ・ティ移動通信網
enui-i-o-o- エヌ・ビー・シー工業
enui-naanea エヌ・ビー中根屋
enueue-a-na- エヌエスケー・ワーナー
enueuo-i エヌエス商事
enuonoana エヌオノ鼻
enui-oiio エヌシーおびひろ
enui-nio-en'aaiaa エヌシー日商連旭川
enui- エヌジー
enu'i-'i-eea-e'inu エヌティティテレマーケティング
enui-o-o-aiau エヌピー総合開発
enui-u-ina エヌピー通信社
enuo- エヌフォー
eneuo エネスコ
eneuu エネックス
eneui エネルギ
eneuiu エネルギッシュ
enoi エノキ
enoiae エノキダケ
enoooua エノコログサ
enooo エノモト
ea-nen エバーンデン
eaui-n エバグリーン
eaa エバタ
eanu エバンス
eao-u- エバ航空
ei エビ
ei- エビー
ei- エビー
eien エビせん
eiio エビイモ
eiaauuaa エビカラウス山
eiani エビガニ
eiaie エビガヒレ
eiioauaa エビシオマップ沢
eiuai エビス崎
eine エビネ
einoe エビノ瀬
eiuian エピキュリアン
eio-nen エピゴーネン
eio-o エピソード
eiaiaueio- エピタキシャル成長
eiuoni- エピック・ソニー
eio-u エピローグ
eui-i- エフ・シー・シー
eui-i-aan エフ・シー・ビー・ジャパン
eua-u エフアール
eeoin エフェドリン
eueue- エフエスケー
eueui-aan エフエフシー・ジャパン
eueuno-uue-u エフエム・ノースウエーブ
eueunaoa エフエム名古屋
eue-e- エフケーケー
euo-ueiauo-o-uiai エフコープ生活協同組合
euoueionu エフコミュケイションズ
eueu エフテック
euio エフピコ
euau エフラック
euou エフロス
eueni- エブゲニー
euon エプソン
euonanai エプソン販売
euon エプロン
euonue-i エプロンステージ
eeeuo エベレスト
eeeuo エベレスト
ee エペ
eoa エホバ
eoi エボシ
eonaio エボナイト
eoaueuneu エボラ出血熱
eoue-inu エポックメーキング
eoua エポック社
ea エマ
ei エミ
ei- エミー
eio エミコ
eion エミッション
eia エミッタ
einenoaaa エミネント葉山
eue-on エミュレーション
eue-o エミュレート
eii エミリ
eiio エミリオ
eio エミ子
eui-eui- エム・イー・エム・シー
eueueu エム・エム・エフ
euo-eiiuuunaaian エム・オー・エー美術・文化財団
euon エム・オン
eui-i-eniniainua-iu エムイーシーエンジニアリングサービス
euo-eaiueu エムオーエアシステム
eue-i-uao エムケーシー・スタット
euei エムケイ
eui-eiau エムシーメディカル
eueuuauua エムテックスマツムラ
euaanai エムラ販売
eeauo エメラルド
eeauoaun エメラルドタウン
eeo-o エメロード
eoo エモト
ea エラ
ea- エラー
ea-oinu エラーロギング
eai エラい
eauia エラブ岩
ei エリ
ei エリ
ei- エリー
ei-o エリート
eia エリア
eia エリカ
eiaina-naonau エリカインターナショナル
eiu エリク
eio エリコ
eio エリコ
eia エリサ
eiaein エリサゼリン
eia エリザ
eiaeoonai エリザベト音大
eiuan エリスマン
eieu- エリゼ宮
eiu エリック
eioia エリトリア
eina エリナ
eu エル
euauaou エル・サルバドル
eueio エルエイト
eueuaioiuaaneionaua- エルエスアイ・ロジックジャパン・セミコンダクター
eueuu-u エルエムフーズ
eua-a エルカーマ
euauei エルカクエイ
euu エルグ
euo-oe-on エルコーポレーション
euauaou エルサルバドル
euaeu エルサレム
eui-ui エルシーブイ
euu エルス
euon エルトン
euna エルナ
euna- エルナー
euni-no エルニーニョ
eua-o エルハート
euaiu エルパイス
euao エルパソ
euu-u エルビウム
euiu エルビス
euiu エルピス
euu エルフ
euuan エルブラン
euuano エルブランド
eue エルベ
eui-o エルミート
euu エルム
eue エルメ
eueu エルメス
euoi-o エルモシージョ
euoa エルモ社
euion エルヴィジョン
eueiuu エルヴェシウス
eeano エレガント
eei エレキ
eeuo-n エレクトーン
eeuoon エレクトロン
eei- エレジー
eeuiii エレックヒシキ
eeu エレツ
eeeaaaoouia エレデ博多寿屋
eena エレナ
eean エレバン
eee-a エレベータ
eee-a- エレベーター
eeeno エレメント
eea エレラ
eo エロ
eouo エログロ
eou エロス
eoiiuu エロチシズム
eoiu エロチック
en エン
enaiu- エンカイシュー
enei エンケイ
ene-iinu エンゲージリング
eno-a エンコーダ
enaiuoeia エンサイクロペディア
enu- エンシュウ
eninia エンジニア
eniniainu エンジニアリング
enu エンジュ
enoi エンジョイ
enin エンジン
eneu エンゼル
eneuiu エンゼルフィッシュ
ena- エンター
ena-uaiu エンタープライズ
enaiu エンタシス
enau エンタツ
enaeieno エンタテイメント
enaiu エンダイブ
enai-ano エンダビーランド
eno- エンチョー
en'i'i エンティティ
enee エンテベ
eneeu-o- エンテベ空港
eninu エンディング
enea- エンデバー
enooiai エントモ岬
enoi エントリ
enooi- エントロピー
eno エンド
eno- エンドウ
enoa-u エンドマーク
enoa- エンドラー
enoain エンドライン
enau エンバク
enaia エンパイア
enaiaio-a エンパイヤ自動車
enuao エンブラッド
enueu エンブレム
enu'ineuo エンプティネスト
enuau エンプラス
eneo-u エンベロープ
enao-oi エンマコオロギ
enie エンリレ
enuuiai エンルム岬
enounaieia エンロク泣セ岩
o- オー
o-i-eu オー・シー・エス
o-e-iueuuaa オーエー・システム・プラザ
o-en オーエン
o-aua オーガスタ
o-auoaan オーガストジャパン
o-io オーキット
o-euoa オーケストラ
o-a オーサ
o-an オーシャン
o-i- オージー
o-uin オースチン
o-oi'i- オーソリティー
o-ae オータケ
o-aiuo オータ事務所
o-a オーダ
o-a-e-o オーダーメード
o-a-o オーチャード
o-uaia オーツタイヤ
o-uae オーヅ岳
o-euaan オーテックジャパン
o-ienu オーディエンス
o-eu オーデル
o-o オート
o-oanina オート三輪車
o-ouu オードブル
o-oi- オードリー
o-na- オーナー
o-neuu オーネックス
o-aia オーハ島
o-a- オーバー
o-un オーブン
o-uninu オープニング
o-una-eo オープンマーケット
o-euu オーベクス
o-oe オーボエ
o-ieni オーミケンシ
o-oo オーモット
o-oaa オーヨ川
o-a オーラ
o-oa オーロラ
o-a-o-u オーヴァードーズ
oaiu オアシス
oau オアフ
oiua-o-u オイスターソース
oianuneaa オイチャヌンペ川
oiiuu オイディプス
oieai オイデ崎
oineaoi オイネが森
oinoana オイノ鼻
oia- オイラー
oia- オイラー
oiano- オイランソウ
oiu オイル
oiuou オイルショック
oiuauaueno- オイル着発線操
oieuo-o- オイレス工業
o-oi オウショッキ
o-i オウチ
o-o- オウトウ
o-ai オウバイ
o-au オウバク
o-u オウム
o-uinio- オウム真理教
o-n オウン
o-no-u オウンゴール
o-e オオエ
o-ai オオカミ
o-uaaa オオクワガタ
o-aa オオサカ
o-oi オオソリ
o-aa オオタカ
o-a オオバ
o-ao オオバコ
o-ui オオムギ
o-uaai オオムラサキ
oaaaion オカダアイヨン
oaieno オカチメンコ
oaai オカハシ
oao オカボ
oaiia オカミ島
oaenoana オカメノ鼻
oaoo オカモト
oai-na オカリーナ
oaina オカリナ
oaaanoi オガタマノキ
oi-u オキーフ
oiai オキアミ
oio オキコ
oiiano オキシダント
oiienaueooiau オキシデンタル・ペトロリアム
oiiuiaa オキッチウシ川
oina オキナ
oinaua オキナグサ
oiiauan オキマップ山
oiaa オギハラ
oo- オギョウ
oiiiao-i オギ医理科商事
oua-u オクターブ
ouana オクタン価
ounau オクナム
oua オクラ
ouaoa オクラホマ
ouuue オクルシュベ
ouio-an オグリローマン
oea オケラ
oeonai オゲホン崎
oo-aa オコウ山
ooino オコシンゴ
ooe オコゼ
ooaneo オコタンペ湖
ooe オコッペ
ooeaa オコッペ沢
oounaiae オコツナイ岳
ooe オコ瀬
oonoi オゴノリ
ooia オゴ岩
oaa オサダ
oaunaiaa オサツナイ川
oanaeaa オサナメ沢
oaaeaa オサラッペ川
oaean オサレ山
oaa オサワ
oaieiaau オザキ軽化学
oauu オザックス
oau オザム
oi オシ
oio オシッコ
oioi オシドリ
oie オシベ
oae オシャレ
oooanaiaa オショコマナイ川
oooeuaa オショロベツ川
oianeuaa オシラネップ川
oioiana オシロイバナ
oiouau オシログラフ
oinoinai オシンコシン崎
oian オジさん
oiio- オジギソウ
oian オジサン
ou オス
oua- オスカー
oua-o-u オスカーホーム
ouue オススメ
ouan オスマン
ouanouoeiou オスマン・トルコ帝国
ouu-u オスミウム
ouo オスロ
ou オズ
oeania オセアニア
oeuiaa オセウシ川
oei オセチ
oeia オセチア
oeo- オセロー
oouiaa オソウシ川
ooueu オソツベツ
ooueuaa オソツベツ川
oouoaa オゾウゾ山
oon オゾン
oaine オタイ根
oaunnaiaa オタウンナイ川
oaoa オタオタ
oau オタク
oaoieuaa オタコシベツ川
oaoainua オタドマリ沼
oauuo-u オタフクソース
oauuae オタフクマメ
oaaaui オタマジャクシ
oaoi オタモイ
oaoiaa オタモイ山
oaa オタワ
oauaa オダッシュ山
oaai オダマキ
oiaaeaa オチカバケ川
oieneaa オチメンペ川
oaaeaa オチャラッペ川
ouuo-o オックスフォード
ouuo-oaiau オックスフォード大学
oan オッサン
oiouau オッシログラフ
oi- オッジー
ou オッズ
oe オッツェ
ooei オットセイ
oai オッパイ
oeneo-in オッペン化粧品
oooaa オッポロ川
ouunoana オツヅノ鼻
o'iuu オティックス
oeaai オテガ崎
oea オデッサ
oo オト
ooiio- オトギリソウ
oooei オトコエシ
ooiui オトシブミ
oooaiiai オトドマリ岬
oonae オトナ瀬
ooe オトメ
oooo オドオド
ooeia オドケ島
oone オドネ
ooioo- オドリコソウ
onaa オナガ
onaaoi オナガドリ
onani- オナニー
onaa オナラ
oniaai オニアザミ
onion オニオン
oniuo オニグモ
onieieaa オニケシペ川
oniui オニユリ
onuunai オヌプナイ
oneoanaiaa オネトマナイ川
ono オノ
onoueinau オノウエ印刷
onooian オノボリさん
oaio オハイオ
oauoono オハグロトンボ
oao-nu-o- オハヨー乳業
oaa オハラ
oaan オバさん
oa-an オバアちゃん
oae オバケ
oaan オバサン
oaaian オバタリアン
oana オバナ
oa-u オパール
oi オビ
oian オビサン
oiauia オビジャク島
oiaieaa オビラシケ川
oiaaa オピチャ川
oinion オピニオン
oiauaoauaa オピラルカオマップ川
oa- オファー
oiau オフィシャル
oiu オフィス
oiua-u オフィスパーク
oenu オフェンス
ouon オフコン
ouaiooau オフサイドトラップ
oui-un オフシーズン
oueo オフセット
ouo オフト
ouain オフライン
oueo オフレコ
ouo-a- オフローダー
ouo-oaiu オフロードタイプ
ounauanaiaa オフンタルマナイ川
ou オブ
ou オブ
oua-a- オブザーバー
oua-o オブラート
ouia-o オブリガード
ouon オプション
ouaeieaa オプタテシケ山
ouiiuo オプチミスト
ou'iaia オプティマイザ
ou'iiuo オプティミスト
oueuu オプテックス
ouon オプトン
oeooaa オベボソ川
oea オペラ
oeano オペランド
oeu オペル
oee-on オペレーション
oeea オペレッタ
oo-uu オホーツク
oo-uuano-uan オホーツク観光物産
oouniuo オポチュニスト
oa-n オマーン
oainai オマジナイ
oau オマツ
oaa オマハ
oai- オマリー
oanoauiaa オマンソラプチ川
oio オミット
oinaei オミナエシ
ouanuui オムシャヌプリ
ouu オムツ
ouniu オムニス
ouniau オムニバス
ouaiu オムライス
oueu オムレツ
ouon オムロン
ouonouoea オムロンソフトウェア
oea オメガ
ooioneuaa オモシロンベツ川
ooaa オモダカ
ooa オモチャ
ooo オモト
ooi オモリ
oauinainoai オヤウシナイの滝
oai オヤジ
oaui オヤスミ
oaaa オヤマダ
ooionoana オヨギドノ鼻
oauneuaa オラウンベツ川
oaoio オラトリオ
oaie オラビ瀬
oan'u-an オランウータン
oana オランダ
oanaia オランダ島
oi オリ
oi オリ
oi-u オリーブ
oi-uu オリーブ油
oiana オリアナ
oii オリイ
oienau オリエンタル
oienooei オリエント時計
oio-u オリオール
oio-uu オリオールズ
oion オリオン
oioneni オリオン電機
oia オリカ
oiuiai オリグチ崎
oionooiai オリコノモイ崎
oioeieioen オリコ生命保険
oiinai'i オリジナリティ
oiino-u- オリジン東秀
oiuu オリックス
oiuueieioen オリックス生命保険
oia- オリバー
oia- オリバー
oiio オリヒロ
ooauaa オリョマップ川
oinau オリンパス
oiniuuaiau オリンピックスタジアム
ouanaia- オルガナイザー
ouan オルガン
ouu オルグ
oueuaeauu オルケスタ・デ・ラ・ルス
ouo-u オルゴール
ouon オルソン
ouuaio オルブライト
ououui- オルホフスキー
ouano オルランド
oui オルリ
ouean オルレアン
oe オレ
oeai オレアリ
oeon オレゴン
oeni オレンジ
oeniuan オレンジ出版
oenuuu オレンブルグ
ooeniieuaa オロウェン尻別川
ooenai オロエナイ
oooo オロオロ
ooa オロカ
oouo オロスコ
oonaioaan オロナイトジャパン
ooiiaaa オロピリカ川
ooueaa オロフレ山
ooueo-e オロフレ峠
oonae オロン岳
oaaiaa オワタリ川
on オン
on オン
on'anenooiaa オンアネノボリ山
on'ea オンエア
ono- オンキョー
onuuoo-u オングストローム
onuu オングル
onaio オンサイト
onauai オンザフライ
onaou オンザロック
onu オンス
onu オンス
onue-i オンステージ
onaio オンタリオ
ona オンダ
onaeuno オンダテクノ
onaouaiooiuo オンダ国際特許事務所
oni オンチ
onou オンドル
onneanuaa オンネアンズ川
onneouenaiaa オンネコムケナイ川
onneia-inaiaa オンネシターシナイ川
onneo-o オンネトー湖
onnenaiaa オンネナイ川
onnenaiaa オンネナイ川
onneeuaa オンネベツ川
onneeuaa オンネベツ川
onneo オンネ湖
onnenua オンネ沼
onae-o オンパレード
onuuan オンブズマン
oneo- オンベ島
onoai オンボ崎
onun オンムン
onain オンライン
onainoe-o オンライントレード
ona-o オンワード
ona-oaiaa オンワード樫山
ono オン湖
oa オ社
aio-i- ＩＯＣ
aiiau 愛し合う
aiuue-o アイススケート
aiei 相席
aiiau 愛着
aieia アイディア（アイデア）
ainiu あいにく
au 合う
aou 扇ぐ
aai 赤字
aau 挙がる
aiao 空き箱
aiu 飽きる
auiu 握手
aueu アクセル
aua 悪魔
aeaioou 揚げ足を取る
aeu 挙げる
ao あご
aaiian 朝一番
aiui 足首
aiai あじさい
aiau 味わう
aioaou 足を運ぶ
aueu 預ける
aaeu 与える
aaaoaeu 頭を下げる
aaaoineu 頭をひねる
aai あたり
aau 当たる
aua 悪化
auau 扱う
auai あっさり
auu アップ
aeaeu あてはめる
aeu あてる
aoaaue 後片づけ
ana 穴
anaou アナログ
aua 油
aueu あふれる
aau 雨具
aai 甘み
aai 余り
aeianuuoo-u アメリカンフットボール
aaai 誤り
auu 歩む
aaou 争う
aaaau 改まる
aauu あらゆる
aaaeu 現れる・現われる
aiaai 有り難い
auiaau 歩き回る
auuaeuoiun アルファベット順
aeui- アレルギー
aaeu 慌てる
ani 安易
ane-o アンケート
aneiei 安定性
annoiou 案の定
iiaaau 言い表す
iiaeu 言い換える
iinai 言いなり
iiaiai 言い間違い
iinai 委員会
ieo- イエロー
iai 以外
iaa いかが
ianio いかにも
iau 怒る
iioi 勢い
iiono 生き物
iu いく
iooi 居心地
iaoiuoi いざ（というとき）
ii 意志
iiaaa 石頭
iinouenioannen 石の上にも三年
iiaiou 慰謝料
iiau 意地悪
iei 異性
ienoie 依然として
iau 抱く
iau 痛む
iaeu 痛める
iiii いちいち
iiou 一応
iininae 一人前
iiiu 一律
iuaien 一回戦
iuen 一見
iuoae 一戸建て
iuiou 一生
iueiniiou 一石二鳥
iuai 一体
iuan いったん
iuei 一定
iuan 一般
iuuu 一服
iuou 一方
iuouei 一方的
ieni 遺伝子
ioo いとこ
ionau 営む
iau 威張る
iuna 異文化
iou 違法
iaoo 今頃
iaea 今では
iaoi 今時
iaae 今まで
iaia 嫌々
iai 癒し
ioio いよいよ
iai 以来
iiou 医療
iaa いわば
inaanei 因果関係
iniuunen 飲酒運転
inai 引退
uiui- ウイスキー
uinu ウインク
u-u ウール
uau 浮かぶ
uu 浮く
ueueu 受け付ける
ui 牛
uiouaa 後ろ姿
uuuai 薄暗い
uaau 疑う
ui うち
uiaaeu 打ち合わせる
uia うちわ
uuai うっかり
uuu 映す
uuun うっぷん
uuu 写る
ue 腕
unauu うなずく
uau 奪う
uai うまみ
ueaeu 埋め立てる
uaaau 裏がある
uanai 占い
uanau 占う
uaau うらやむ
uiaeu 売り上げる
uu 得る
eu 得る
uaaau 上回る
unei 運営
uneniu 運転手
unei 運命
eiiou 影響
eieiouou 衛星放送
eiou 栄養
eii 営利
eau 描く
euniuuioui エスニック料理
enueiie- ＮＨＫ
eai 偉い
eu 得る
en 縁
eni 延期
enuau 円グラフ
eni 園児
enuo エンスト
enaa 円玉
eniouen 延長戦
oiaeu 追いかける
oinuu 追い抜く
ou 追う
ouen 応援
ouuu 往復
ooae 大雨
oou 覆う
ooaa 大方
oooe 大声
o-a- オーバー
ooaa 大ばか
ooin 大瓶
ooa 大家
oau 犯す
oai お上
oiaeu 置き換える
ooi お越し
oou 起こる
oou おごる
oanai 幼い
oaau 治まる
oaeu 治める
oii おじぎ
oiu 惜しむ
oiaaiau お邪魔します
oioeu 押し寄せる
oen 汚染
ooau おそらく
ooeiu 恐れ入る
ooau 教わる
oaaiaa お互い様
oiuu 落ち着く
oue 追って
ooau 脅かす
ooueu 訪れる
oonaii おとなしい
oooeu 衰える
oni 鬼
oniii おにぎり
oiaau 脅かす
ouiu オフィス
ooeu おぼれる
ooi 思い
ooiiue 思い切って
ooiou 思い込む
ooau 思わず
oau おやつ
ooo およそ
oou 及ぶ
oanu-an オランウータン
oiniuu オリンピック
oeenuau 折れ線グラフ
oau 終わる
onia 御社
onan 温暖
ono 温度
oiano おりさの
ouai おっぱい
